Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 67.0.3396.87,,2018-06-19 12:34:27,2018-06-19 12:34:42,15.399s,PASSED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 67.0.3396.87,,2018-06-19 12:34:28,2018-06-19 12:34:41,13.923s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-19 12:34:28,2018-06-19 12:34:36,7.798s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-19 12:34:36,2018-06-19 12:34:37,1.204s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-19 12:34:37,2018-06-19 12:34:37,0.131s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 12:34:37,2018-06-19 12:34:38,0.346s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 12:34:38,2018-06-19 12:34:38,0.230s,PASSED
click,Chrome 67.0.3396.87,,2018-06-19 12:34:38,2018-06-19 12:34:38,0.413s,PASSED
"Statement - flag = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Another session is currently active with this User ID. You can continue to sign in with this User ID by checking the ""Force Sign In"" option."", false)",Chrome 67.0.3396.87,,2018-06-19 12:34:38,2018-06-19 12:34:39,0.340s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-19 12:34:39,2018-06-19 12:34:41,2.821s,PASSED
